MII_1_ratio	MII_2_ratio	MII_3_ratio	MII_4_ratio	MII_5_ratio	MII_6_ratio	MII_7_ratio	MII_8_ratio	MII_9_ratio	MII_10_ratio	MII_11_ratio	MII_12_ratio	MII_Bulk_ratio	X2i_1_ratio	X2i_2_ratio	X2i_3_ratio	X2i_4_ratio	X2i_5_ratio	X2i_6_ratio	X2i_7_ratio	X2i_8_ratio	X2i_9_ratio	X2i_10_ratio	X2i_11_ratio	X2i_12_ratio	X2i_Bulk_ratio	Ser_1_ratio	Ser_2_ratio	Ser_3_ratio	Ser_4_ratio	Ser_5_ratio	Ser_6_ratio	Ser_7_ratio	Ser_8_ratio	Ser_9_ratio	Ser_10_ratio	Ser_11_ratio	Ser_12_ratio	Ser_13_ratio	Ser_14_ratio	Ser_15_ratio	Ser_16_ratio	Ser_17_ratio	Ser_18_ratio	Ser_19_ratio	Ser_20_ratio	Ser_Bulk_ratio	MII_2D_ratio	MII_5D_ratio
1700080E11Rik	0.5	0	0	0.5	0	0.25	NA	0.25	0	0	0	0	0	NA	NA	0	0.5	1	0	0.5	0	0.25	0.5	0.25	0.5	0.25	0.75	1	1	1	0.75	0.5	0.75	0.75	1	1	0.75	NA	1	1	1	0.75	NA	1	1	1	0.75	0	0
Vrk1	0.5	0.25	0	0.5	0	0	NA	0	NA	0	0.25	0	0.25	0	NA	0	0	0	NA	0	0	0	0	0	0.25	0	0	0.75	NA	0.25	0	0.25	0.25	0	0.75	0	0	0	0.5	0.25	0	0	1	0.25	0.25	0.5	0.25	0.25	0
Vrk2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0.25	0	0.5	NA	0	0.5	0	0.25	0	0	0	0	0	0	0	0	1	0.25	0	0.75	0.75	0.5	0.5	0.25	NA	1	1	0	1	0.25	0	0	0
Tmem63a	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.5	0.25	0	0	0	0.25	0	0.25	0	NA	0	0	0.5	0	0	0	0.25	0	0.5	0.75	0	0	0.25	NA	0.25	0.25	0.25	0	0	0	0	0.25	0.25	0	0
Tmem63c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	1	0.25	0.25	0	0.25	0	0	0.25	NA	0.75	0.25	0.25	0.75	0.25	0.25	0.25	0	0.5	0.25	0.25	NA	0.75	0.75	0.25	0.75	NA	0.25	NA	1	0.5	0.25	0.5	0	0
Tmem63b	0	0.25	0.25	0.25	0	0.25	0.25	0	0	0	0	0.25	0	0.25	0.25	0.25	0	0	0.5	0	0.25	0.25	0	0.25	0.5	0	0.5	0.5	0	0.25	0.75	0.25	0.5	0.75	0	0.25	0.25	0.25	0.75	0	0	0.25	0.25	0.25	0	0.5	0.25	0.25	0.25
Mpped1	0	0	0	0	0	0	0.25	0	0	0	0.25	0.25	0	0.25	0.25	0.5	0.25	0.5	0.5	0.25	0.75	0.25	0.25	0.25	0.25	0	0.5	0	0.75	0.5	0.5	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.5	0.5	0.25	0.25	0	0
Mpped2	0	0	0	0	0	0	0.25	NA	0	0	0.25	0	0	0.25	0	0	0.25	0.25	0	0	0	0	0.5	0	0	0	0.25	0	0	0	0	0	0	0	0	NA	0.25	0.5	0	0	0	0	0.25	0	0.25	0	0	0	0
Gm2176	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0.75	NA	0.75	1	0.5	NA	1	NA	NA	NA	NA	0.75	0.25	1	1	0	1	0.5	0.25	NA	0.5	0.75	1	NA	NA	NA	0.5	0.75	NA	1	1	1	1	0.75	0	0
Chrng	0.25	0.5	0.25	0.25	0	0.5	0	0	0.25	0	0	0.25	0.25	0	0.75	0.5	0.5	0.75	0	0.25	0.25	0	0.25	0.25	0	0.25	0.75	0.25	0.25	0.5	0.75	0	0.75	0.75	0.5	0.5	0.5	0.25	0.5	0.75	0.75	0.5	0.25	0.75	0.75	0.5	0.5	0.5	0.25
Chrnd	1	0.75	0.5	0	0.5	0.5	NA	0	0.75	NA	0.75	0.5	0.75	1	0.5	0.5	0.25	0.5	0.25	NA	0	0	0.25	0.25	0.5	0.25	NA	1	0.75	1	0.75	0.25	1	1	0.75	1	1	1	1	0.75	1	0.5	NA	1	1	0.75	0.75	0.75	0.75
Chrne	0.25	0	0	NA	0	0	NA	0	0	0	NA	0.25	0	1	0.75	0.75	0.5	0.5	0.5	0.5	0.25	0.5	0.25	NA	0.5	0.25	NA	1	1	0.75	0.75	0	1	1	0.75	0.75	1	1	1	1	1	0.75	0.5	1	0.75	1	0.75	0	0.25
2700094K13Rik	1	1	1	1	1	1	1	NA	1	1	0.5	NA	1	0	0	0	NA	0	0	0	0	0	NA	0	0	0	0.25	0	0	0.25	0	0	0.5	0.25	NA	0.25	0	0	0.5	0.25	0	0	0	0.25	0	0	0.25	1	1
Gm8884	0.75	1	0.5	NA	1	1	0	NA	NA	1	NA	0	1	0.75	0.5	1	0.5	NA	0.25	0	0.25	NA	NA	0	0.25	0.25	1	0.5	1	0	0.75	0.25	NA	0.75	0.5	0.5	1	NA	0.75	0.75	0.5	0.5	1	NA	1	1	0.75	1	0.75
Gm8882	NA	NA	0	0	NA	NA	NA	NA	NA	1	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	1	NA	NA	NA	0.25	NA	1	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	0.5	0	0
Gm8883	0	NA	0	0.25	0	NA	NA	NA	0	NA	0	0	0.25	0.5	0	1	NA	0.75	0	0.5	0	0	0.25	0.25	NA	0.5	1	1	0.5	1	NA	0.5	1	1	0.75	1	NA	1	NA	1	NA	NA	NA	NA	0.5	1	1	1	0.25
Dmap1	NA	0.5	0.25	0.75	0	0.5	0	0	0.25	0.75	1	0.75	0.25	0.75	0	0	0.25	0	0	NA	0	0.25	0	1	0	0	0.25	0	0.25	0	NA	0	0.5	0.25	0.25	1	1	NA	NA	0	0.5	0.25	0.25	0	NA	0	0.25	0.25	0
Bcl6b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.75	0.25	0	0.75	0.25	0	0	0.75	0	NA	0	0.5	0	0.25	0.25	0	0	0	0.25	0.25	0.25	0.75	0.5	0.25	0.25	0	0	0	0	0.25	0.25	0.25	0	0
Tbrg1	0	0	0.5	0	0	0.25	NA	0	0	0.25	NA	0	0	NA	0	0	NA	NA	0	0	0	NA	NA	NA	0	0	0.25	0	0	0	0.25	0	NA	0	0	0	NA	NA	NA	NA	0	0	0.25	0.5	0	0	0	0	0
Tbrg3	0	0	0	0.5	0	0	0.5	0	0.75	0.5	0	0.25	0	0	0	0	0.75	0	0.25	0.25	0	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0	0.75	0	0	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.5	0	0	0	0	0
Tbrg4	0	0	0.25	0.25	0	0	NA	0	0	NA	NA	NA	0.25	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.25	NA	0.25	NA	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0.25	0.25
Agr3	NA	0	0	0	0	0	0.5	NA	NA	0	0	NA	0	1	NA	1	0	1	0.5	0.5	0	1	NA	NA	NA	0.25	NA	NA	NA	NA	1	NA	NA	NA	NA	0.75	1	NA	1	0.75	0.75	0.75	1	0.75	NA	NA	0.5	0	0
Vmn1r158	NA	0.25	0.5	0	0	0.5	NA	NA	1	NA	1	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.5	1	NA	NA	NA	NA	NA	0.75	0.75	0.5
Spn-ps	1	1	1	0.75	0.75	1	NA	NA	NA	1	1	1	1	0.25	0.5	0.5	0.5	0.25	0	NA	0	0.5	NA	0	0.75	0.25	NA	0.75	1	0.5	1	0	1	1	1	1	1	0.75	NA	1	1	1	1	NA	NA	NA	0.75	1	1
Cyp2d22	NA	0	0	NA	0	0	NA	NA	0	0	NA	NA	0	0	NA	0	0	0	0	0	NA	1	NA	0	0	0.25	1	1	0.25	0.25	0	0	0	0	0.25	0.5	NA	1	0.5	0.25	1	0.25	0.5	NA	1	0	0.5	0	0
Tnks2	0	0	0	0	0	0	0	NA	0	0	0.5	0.5	0	0	0.5	0	0	0	0	0	0	0	0.5	NA	0	0	0	0	NA	0	0.25	0	0	0.25	0.25	0	0.25	0	0	0	0	0	0.5	0.25	0.75	0	0	0	0
Zfp804b	0	0	0	NA	0	0	0.5	0	NA	1	0.75	0.25	0	0	0	0	0.5	0	0.25	0	0.25	0.5	0.25	1	0	0	1	0	0.25	0.25	0.75	0.25	0	1	0	0.25	1	0.5	1	0.25	NA	0	0.25	0.75	0.25	1	0	0	0
Zfp804a	NA	0	0	0	0	0	0	0	0.25	0	0	0	0	0.5	0.25	0.5	0	0.25	0	0	0	0	0	0.25	0	0	0	NA	0	0	0	0	0.75	0	0	0.25	0	1	0	0	0	0.25	0.25	1	0.5	0.5	0.25	0	0
Agrp	0	0	0.75	0	0.5	1	0.75	0.5	1	0.5	NA	1	0.5	0.5	0.75	0.75	0.5	0	0.5	0.75	0	0.5	0.5	0.75	0.5	0.25	0.5	1	0.25	0.75	0.75	0.25	1	1	0.75	1	1	0.5	1	0.75	1	0.75	0.75	1	0.5	0.75	0.75	0.25	0.5
Olfr91	0	0	0	0	0	0	NA	0	0	NA	0	NA	0	0.75	NA	0	NA	NA	NA	0	NA	0	0	0	0.25	0.25	1	0.75	NA	1	NA	NA	1	NA	0.75	1	NA	NA	1	1	NA	0.75	1	NA	1	NA	0.75	0	0.25
Agrn	0	0	0	0.25	0.25	1	0	0	0.5	0	0.5	0.25	0	0	0.25	0	0	0	0.25	0.25	0	0	0.25	0	0	0	1	0	0.5	0	0	0	0	0.25	0.25	0	0	0.75	0	0	0	0	0.25	0	0	0	0	0	0
Gfm1	0	0.25	0	0.25	1	0	0.25	0.5	0.75	0	0.25	0.25	0.25	0	0	0.25	0	0	0	0.25	0	0	0.75	0.25	0.5	0.25	0.75	0.75	0.25	0.5	1	0	0.25	0	1	0.5	0	0.25	0.25	0.25	0.25	1	0.5	0.25	0	0.5	0.25	0.25	0.5
Gm2825	0.75	0.5	0.5	0.5	0	0.5	NA	NA	NA	NA	NA	0	0.5	1	NA	NA	NA	0.5	NA	0.5	0	0.75	NA	NA	NA	0.5	NA	NA	0.5	NA	0.5	NA	NA	NA	NA	0.75	NA	NA	NA	0	NA	NA	1	NA	NA	NA	0.75	0.25	0.25
Dspp	0	0.25	0	NA	0	0	NA	NA	NA	0	NA	0	0	0.5	1	0	NA	NA	NA	NA	0	NA	1	NA	0.75	0.5	1	NA	1	NA	NA	0	1	0.5	NA	NA	NA	0.5	1	0	NA	NA	NA	0	0.5	1	0.75	0.5	0
Mars	0.25	0	0.25	0	0.25	0	1	NA	1	0	0	0.25	0.25	0	0	0	0	0.25	0	0	0.5	0.25	0.5	0	0	0	0.25	1	0.5	0.25	0.25	0	1	0	0	0	0.25	0.25	0	0	0.75	0	0.25	0.25	0.25	0	0.25	0	0.25
Ear4	0	0	0	0	0	0	NA	NA	0	0	0	0	0.25	NA	NA	1	0.5	1	0	NA	0.25	0	NA	0.5	NA	0.25	NA	1	0.25	1	0.25	NA	1	NA	1	1	0.5	NA	1	1	1	0.75	1	1	1	1	0.75	0	0
Ear7	0	0.75	0.25	NA	NA	0.5	NA	NA	0	NA	0	0.5	0.5	NA	NA	NA	0.5	1	NA	NA	0	NA	0.5	0	NA	0.25	1	1	0.75	0.25	NA	0.25	0.75	0.5	0.75	NA	0.75	0.25	NA	1	0.75	0.25	0	NA	NA	1	0.5	0.5	0.75
Ear1	0	1	0.5	NA	0	0.75	0.5	NA	NA	NA	NA	1	0.75	1	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	0.25	0.75	0.75	0.5	NA	NA	0.25	NA	1	1	1	NA	NA	NA	0.5	NA	1	NA	NA	1	NA	0.75	0.75	0.75
Ear2	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.75	0.5	NA
Ear3	1	NA	0.75	NA	NA	0	NA	1	0.25	1	NA	NA	0.75	NA	NA	NA	NA	0.5	0.25	1	0	0	0	NA	0.5	0.25	1	NA	0.5	0	NA	1	0.75	NA	NA	1	1	1	0	NA	1	1	NA	1	1	NA	0.75	1	0.75
Fam213a	0	0	0	0	0	0	NA	0	0	0	NA	0	0	NA	0.5	0	0	0	0	NA	NA	0	0	0	0.25	0	1	0.5	0.5	0.25	0.75	0.25	0.5	NA	0.25	0.25	0.25	NA	0.75	0.5	0	0.25	0.75	0.25	0.25	0	0.5	0	0
Ric8b	0	0	0	0	0	0	NA	0.25	0	0	NA	0	0	0	0.25	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0.25	0	0.25	0	0.25	0	0	0	0	1	0	0	0	0.25	0	0
Fam213b	0	0	0	0	0	0	0	NA	0	0.25	0	0.25	0	0	0.25	0.25	0	0.25	NA	0.25	0	0.25	0.25	0.25	0.25	0.25	1	0	0.25	0.5	0.75	0	0.75	0.25	0.25	0.25	1	0.25	0.75	0.25	0.25	0.25	0.25	0.5	0.25	0.75	0.5	0	0
Lrr1	NA	0	0	0	NA	0	0	NA	NA	0	NA	0.75	0.25	0	NA	0	NA	0	NA	0	0	0	0	NA	NA	0	0	1	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	0
Mir692-1	0.5	0.25	0	0	0.25	0.5	0	1	1	0.25	0.75	0.75	0.5	0	NA	0	0.75	1	1	0.25	0.5	0.25	0.25	0.25	0	0.25	1	NA	0.25	0.75	0.75	0.25	1	1	0.5	1	1	NA	0.5	0.75	0.25	0.5	0.75	1	1	1	0.75	0.25	0.5
Mir692-3	0	0.25	0.25	0	0.25	0	NA	0	0	0.25	0	0	0.25	0	0	0.5	0	0.25	0	0.25	0.25	0.25	0	0.5	0	0.25	0.5	0.5	0.25	0.25	0.5	0	0.75	0.25	0.25	0.5	0.5	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.5	0.25	0
Pabpc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	NA	0	0.5	NA	0	0.25	0	0	NA	0	0	0	0.25	0	0	0	0	0.25	0.25	0	0	0.25	0	0	0
Pabpc2	0	0	0	0	0	0	0	NA	0	0	0	0	0.25	0.75	NA	0.75	0.5	0.5	0.5	0.25	0.25	0	NA	NA	NA	0.5	1	NA	1	NA	1	0.5	1	NA	0.5	1	1	NA	0.25	0.75	1	0.75	NA	1	NA	1	0.75	0	0
Pabpc4	1	0.75	0.25	0	0.5	0.5	0	NA	1	0	NA	1	0.75	0	NA	0.25	0	0	0.5	0	0	0	0	NA	0	0	0.25	0.5	0	0	0.25	0.25	0.75	0.5	0	0	1	1	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0.5	0.25
Pabpc5	0	0	0	0.25	0.25	0	NA	0.5	0	NA	NA	NA	0	NA	0	0	0	0.25	0	0	0	NA	NA	NA	0	0.25	NA	NA	0	0.25	NA	0	0	0	0.25	0	0	0	NA	NA	0	0.25	0.25	NA	0.75	0.5	0.25	0	0
Pabpc6	1	1	1	0.75	1	1	NA	NA	NA	1	1	1	1	0.25	0	0	0	0	0	0.5	0	NA	0.25	NA	NA	0.25	0.75	0.25	0	0.75	0.5	0	0.5	1	1	0.5	0.75	NA	0.75	0.5	0.5	0.5	NA	NA	0.75	0.25	0.5	1	1
Dtd1	0	0	0	0	0.75	0.25	0.75	0.25	0	0.5	0.75	0.25	0	0.5	0.75	0	0.75	0.25	0.5	0.75	0.75	0.25	0.25	0.75	0	0	0	0	0.25	0	0	0	0.75	0.25	0	0.25	0.25	0.75	0	0	0.75	0	0.5	0	0	0	0	0	0
Dtd2	0.25	0	0.25	0	0	0	0	0	0.25	0.25	NA	0.75	0.25	0.75	0	0.25	0.25	0.25	0.75	0	0.75	0.25	0.75	0	0.5	0	0.75	0.5	NA	0.25	0.75	0.25	0.25	0.75	0.25	0.25	0.5	0.25	0.25	0.25	0.75	0.5	0.25	0	0.75	0.75	0.25	0	0.25
Stk3	0	0.25	0	0	0.25	0	NA	0	0.25	0	NA	NA	0.25	0	0	0.75	0	0.25	NA	0.25	0	0	0.25	0	NA	0	0	1	0	0	0	0.25	0.25	0	0	0	1	0	0.5	0	0	0	0	0.25	0	1	0.25	0.25	0.25
Stk4	0.5	0	0	NA	0.5	0.25	1	0	0.25	0	NA	0	0.25	0	NA	0	0	0	0	0	0	0.25	NA	0	NA	0	0	1	0	0	0	0	0.5	0	0	0	0	0	NA	0	0	0	0	NA	NA	0.25	0.25	0	0.25
Cpsf6	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0.25	NA	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.75	0	0	0	0
Tle3	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.75	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0	0.25	0	0.25	0.25	0	0.25	0	0	0
Mir465d	1	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	1
5930403L14Rik	0	0	0	0	0.5	0	NA	0	0.25	NA	NA	0.75	0.25	0	0	NA	0	0.25	0	NA	NA	0	NA	0	0	0	NA	NA	0.5	0.75	0	0	0.25	NA	0.25	1	0.75	NA	NA	0.5	0.25	0	0.5	NA	0.25	0.5	0.25	0.25	0.5
Gm436	0.5	0	1	0	NA	0	NA	0	NA	0	NA	NA	0.25	NA	1	NA	NA	NA	0.25	NA	NA	0	NA	NA	NA	0.25	NA	0	0	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	0.5	0	0.25
Gm438	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.25	NA	NA	0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	0	0
Serpinb9	NA	1	1	NA	1	1	NA	NA	NA	1	NA	NA	1	NA	0	NA	0	0.25	0.25	NA	NA	1	NA	0	NA	0	0.75	NA	0	NA	0.5	0	0	0	NA	NA	0	NA	0	0.75	0	NA	0.75	0.5	0	NA	0.5	0.75	1
Serpinb8	0	0	0	NA	0	0.25	NA	0	0	0	NA	NA	0	0.25	NA	NA	NA	0	NA	NA	0	NA	0	0	NA	0.25	0.75	NA	0.25	NA	NA	NA	NA	1	0	0.5	NA	NA	0.75	NA	NA	0	NA	NA	NA	NA	0.5	0	0
Rae1	0	0.25	0	0.25	0	0.5	NA	0.75	0.25	0	0	0	0.25	0.5	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	1	0	0	0	0.25	0	0	0	0	0.25	0.5	0	0	0	0.5	0	0	0	0	0.25	0.25
Serpinb2	NA	1	0.5	0.75	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	1	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.75	1	1
Serpinb5	NA	0	0	NA	0	0	0	0	0	0	0	NA	0.25	0.25	NA	NA	0.5	0	0	0.75	NA	0	0	0.25	0	0.25	1	0.25	1	NA	NA	0	NA	0.75	1	0.75	1	1	0.5	0	NA	NA	0.75	0.75	1	1	0.75	0	0
Serpinb7	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	1	0	NA	0.75	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	0
Eng	0	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0.25	1	0	0.25	0.25	0	0	0	0	0	0	0.25	0	0.25	0	0.25	1	0.75	0	0.25	0.25	0.25	0.25	0.5	0.5	0.5	0.25	0.25	0	0.75	0.5	0.25	0.25	0.5	0	0
Actrt1	1	1	1	1	NA	1	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.75	1	1
Actrt2	0	0	0	0	0	0	0.25	0	0	0	NA	0	0.25	0.5	0	0.75	0.5	1	0	0.5	0.5	0.5	0.5	0.5	0.25	0.25	1	1	0.75	1	1	0.75	1	1	0.75	0.75	1	1	0	1	1	0.75	1	1	1	1	0.75	0	0
Actrt3	0	0	0	0	0	0	NA	0	NA	NA	0	NA	0	0	0	1	0	0.25	0	0.25	0	0	0	NA	0.75	0.25	NA	NA	NA	0.5	0	NA	1	NA	0	0.25	NA	NA	0.25	0.25	0.75	0.75	NA	0.5	NA	0.25	0.5	0	0
Nptx2	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0.25	0.75	0.25	0	0.25	0	0	0	0.25	0	0.25	0.5	0	0	0	0	0.25	0	0	0	0	0	0
Nptx1	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	1	0	0	0	0.25	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0	0	0.25	0	0	0
1700022A21Rik	0.25	0	0	NA	0	0	NA	NA	NA	NA	NA	0	0.25	NA	NA	0	NA	1	NA	NA	NA	0	0.75	NA	NA	0.25	NA	NA	NA	1	NA	0.25	1	1	1	NA	1	NA	NA	NA	NA	1	0.75	1	NA	NA	0.75	0	0
Kcnd3os	0	0	0	0	0	0	NA	0.25	0	0	0	0	0	0	0.5	0.5	0.25	0	0.5	0.25	0	0.25	0	0	0	0	0.25	0.5	0	0	0	0	0.5	0.25	0	0.5	0.5	0.5	0.25	0.25	0.25	0	0	0.25	0	0	0.25	0	0
Bag2	0	0.25	0	0	0	0	NA	0.5	0	1	NA	NA	0.25	0	0.25	0	NA	NA	0	0	0	0.75	0	0	0.25	0	NA	0	0	0.25	0.25	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0.25	0.25	0.25	0.25	0	0
Bag3	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	NA	0	0	0	0.25	NA	0.25	0	0.25	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.25	0	0
Bag1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	1	1
Bag6	0	0.25	0	NA	0	0.75	0.25	0	0.25	0	0	0.25	0.25	0.5	0.5	0.5	0	0.25	0.5	0	0	0	0.25	NA	0.5	0	0.25	0	1	0.25	0	0	0	0.5	0	0.25	0.25	0.25	0.5	0	0.5	0.5	0	0.25	0.25	0.25	0	0	0
Bag4	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	0.5	0	NA
Bag5	0	0	0	0	0	0	0	0	0.5	0.5	NA	0	0.25	0	NA	0	0	0	0	0	0	NA	0	NA	0	0	0.25	0.25	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0.75	0	0	0	0.25	0	0.25
Gsap	0	0	0	0	0	0	NA	0	0	0	0	NA	0	NA	NA	1	0.5	0	0	0	0	0	NA	0	NA	0	0	0.5	0	0.25	0.5	0	NA	0	0	0.25	0	0	0.25	0.25	1	0	0.25	0.5	0.25	0.25	0.25	0	0
Rasl2-9	0.5	0.25	0.5	0	0.75	0	0.5	0.5	0.25	0.25	0	0	0.5	0	0.75	0.5	0.75	0.25	0	0.25	0	0.5	0	0.25	0.25	0.25	1	0.25	0.5	0.5	0.5	0	0.25	NA	0.75	0	1	0.25	0.5	0.25	NA	0.25	0.5	0.25	0.75	0.25	0.5	0.5	0.5
Lztr1	0	0	0	0	0	0	0	1	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0.25	0	0	0.25	0	0	0	0.75	0	0.25	0	0	1	0	0	0.5	0.25	1	0.75	0.25	0.25	0.25	0.25
Ccnl1	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.25	0	0.5	0	0.25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.5	0	1	0	0	0	0	0.25	0	0	0
Ccnl2	NA	0	0.25	0.25	0	0.25	0	0.5	0	0	0	0.25	0.25	0	0.75	0	0.25	1	1	0	0.25	0	0.25	0.25	0	0	0.25	0	0	0.25	0.25	0.25	0	0.25	0	0	0.75	0.25	0.25	0.25	0	0.75	0.25	0	0.25	0.25	0	0	0
Nptxr	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0.25	0	0.5	0	0	0	0	0	0	0	0	0.75	0	0	0	0.75	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0	0.25	0	0
Rps26	0	0.25	0.25	NA	0.25	0.75	NA	NA	0	0	0.25	0	0.5	NA	0	0	0	0.25	0	NA	0.25	NA	0	0	NA	0	0	NA	0.25	0.25	NA	0	NA	NA	0.25	0	0.25	0	NA	0.25	1	0.5	0	0	0.25	0.25	0.25	0.5	0.25
Rps24	0	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	NA	0.75	0	0	0	0.5	NA	0	0.25	NA	0	0	0	0.75	1	0	0	0	NA	0.5	0	NA	0	1	0	0	0	0	0	0	0	0	0.25	0	0
Rps25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA
Rps23	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	NA	0.25	0	0.25	0.5	1	0.5	0.5	0.25	0.5	0.25	0.25	0.25	0	0.25	0	0.5	0	0	0.75	0.25	0	0	0.75	0.5	0.25	0.5	0.5	0.5	0	0.25	0.25	0.5	0.5	0.25	0.25	0	0.25	0
Rps20	1	1	0	0	0.25	1	0.25	0	0	NA	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0.5	0	0	0	1	0	0.5	0	0	0	0	0	0	0	0.25	0	0.5	0.25	1	0	1	0.25	0	0.5	0	1	0.25
Pvt1	0	1	1	1	1	NA	0.5	1	1	1	1	0.5	1	0.25	0	0	0.25	0.25	1	0.25	0.25	0.25	0.75	NA	0.5	0	0.25	0.75	0.25	0	0	0	0.75	0.75	0.25	0.25	0.75	0.25	0.25	0.5	1	0.75	0.5	0	0	0.5	0.25	1	1
